region,hospital_count
Parkville,10
Yarriambiack,7
Clayton - Central,7
East Melbourne,7
Buloke,5
Ballarat,5
Frankston,5
Shepparton - North,5
Nhill Region,5
Mornington - West,4
Bendigo,4
Glenelg (Vic.),4
Heidelberg - Rosanna,4
Richmond - North,4
Towong,3
Werribee - South,3
Kew - West,3
Epping - South,3
Berwick - North,3
Noble Park - West,3
Geelong,3
Bright - Mount Beauty,3
Corangamite - North,3
Orbost,3
Mulgrave,3
Wantirna,2
Rushworth,2
Moorabbin - Heatherton,2
Pascoe Vale,2
Wonthaggi - Inverloch,2
Prahran - Windsor,2
Footscray,2
Elsternwick,2
Corangamite - South,2
Mount Waverley - South,2
Forest Hill,2
Newcomb - Moolap,2
Daylesford,2
Wodonga,2
Seymour,2
Wangaratta,2
West Wimmera,2
Kingsbury,2
Numurkah,2
Belmont,2
Mildura - North,2
Lilydale - Coldstream,2
Maffra,2
Castlemaine,2
Kyabram,2
Brunswick - North,2
Fitzroy,2
Creswick - Clunes,2
Coburg - West,2
Noble Park - East,2
Glen Iris - East,2
Box Hill,2
Ringwood East,2
Caulfield - South,2
Loddon,2
Caulfield - North,2
Healesville - Yarra Glen,1
Heathcote,1
Bacchus Marsh,1
Melton West,1
Winchelsea,1
Reservoir - South West,1
South Yarra - West,1
Warrnambool - North,1
Mitcham (Vic.),1
Morwell,1
Yarram,1
Broadmeadows,1
Robinvale,1
Foster,1
Myrtleford,1
Korumburra,1
Cranbourne,1
Ararat Surrounds,1
Warrnambool - South,1
Highton,1
Yarrawonga,1
Charlemont,1
Maryborough (Vic.),1
Ascot Vale,1
Bairnsdale,1
Vermont South,1
Mooroolbark,1
Gannawarra,1
Moyne - West,1
Clayton (North) - Notting Hill,1
Hampton,1
Kangaroo Flat - Golden Square,1
Southern Grampians,1
Williamstown,1
Craigieburn - Central,1
Swan Hill,1
Mildura Surrounds,1
Portland,1
Colac,1
Hawthorn - North,1
Doncaster East - South,1
Cobram,1
Surrey Hills (East) - Mont Albert,1
Bruthen - Omeo,1
St Arnaud,1
Warragul,1
Mordialloc - Parkdale,1
Kyneton,1
Otway,1
Niddrie - Essendon West,1
North Geelong - Bell Park,1
Bundoora - West,1
Maryborough Surrounds,1
Glen Waverley - West,1
Malvern - Glen Iris,1
Heidelberg West,1
Dandenong - North,1
Blackburn South,1
Kew - South,1
Ferntree Gully (South) - Upper Ferntree Gully,1
Clifton Hill - Alphington,1
Rosebud - McCrae,1
Rochester,1
St Albans - South,1
Castlemaine Surrounds,1
Carlton,1
Doncaster,1
Bayswater,1
Keilor Downs,1
Mount Baw Baw Region,1
Phillip Island,1
Point Cook - North West,1
Bacchus Marsh Surrounds,1
Lorne - Anglesea,1
Shepparton Surrounds - West,1
Benalla,1
Beaufort,1
Sale,1
Kerang,1
Hamilton (Vic.),1
Sandringham - Black Rock,1
Kilmore - Broadford,1
Echuca,1
Koo Wee Rup,1
Hastings - Somers,1
Langwarrin,1
Leongatha,1
Traralgon - West,1
Boronia,1
Malvern East,1
Euroa,1
Stawell,1
Mansfield (Vic.),1
Bentleigh East - North,1
Horsham,1
Ararat,1
Brighton (Vic.),1
Swan Hill Surrounds,1
Ivanhoe,1
Alexandra,1
Yea,1
Beechworth,1
North Melbourne,1
